time,max,min
2018-08-30,31.5,29.799999
2018-08-31,32.200001,29.4000005
2018-09-01,32.4499985,29.6999995
2018-09-02,32.8500005,30.05
2018-09-03,33.799999,30.6999995
2018-09-04,34.25,31.1000005
2018-09-05,33.799999,30.95
2018-09-06,31.6499995,27.5999995
2018-09-07,28.8500005,26.6999995
2018-09-08,28.950001,25.25
2018-09-09,29.450001,25.3499995
2018-09-10,29.4499995,26.1999995
2018-09-11,28.8999995,25.6000005
2018-09-12,27.6999995,25.25
2018-09-13,29.25,25.200001
2018-09-14,31.1499995,26.75
2018-09-15,31.3499995,28.1500005
2018-09-16,30.5,27.8500005
2018-09-17,29.75,27.0
2018-09-18,29.5,26.25
2018-09-19,32.549999,27.9499995
2018-09-20,33.6000005,29.700001
2018-09-21,29.700001,26.85
2018-09-22,27.1999995,25.1499995
2018-09-23,25.4000005,24.3999995
2018-09-24,26.3499995,24.9000005
2018-09-25,25.6,24.1999995
2018-09-26,25.25,22.7
2018-09-27,23.8999995,21.75
2018-09-28,25.8499995,22.7
2018-09-29,27.3499995,22.9000005
2018-09-30,28.700001,23.8999995
2018-10-01,26.8499995,25.049999
2018-10-02,26.799999,23.700001
2018-10-03,27.0,23.55
2018-10-04,26.799999,23.549999
2018-10-05,26.3000005,22.6499995
2018-10-06,26.5500005,22.3999995
2018-10-07,26.9,22.75
2018-10-08,25.55,22.7
2018-10-09,22.65,21.1500005
2018-10-10,22.9499995,21.0
2018-10-11,23.9,19.55
2018-10-12,24.0999995,18.7
2018-10-13,22.1,19.8500005
2018-10-14,19.9000005,18.3
2018-10-15,19.6499995,18.3000005
2018-10-16,21.25,18.6500005
2018-10-17,22.200001,19.75
2018-10-18,23.5999995,20.5
2018-10-19,22.35,19.4499995
2018-10-20,19.5500005,18.0999995
2018-10-21,18.3000005,17.5999995
2018-10-22,19.5500005,17.75
2018-10-23,21.6,18.1500005
2018-10-24,22.0,20.1500005
2018-10-25,22.1499995,21.0
2018-10-26,23.95,20.6499995
2018-10-27,23.4499995,18.8499995
2018-10-28,23.8000005,19.1000005
2018-10-29,24.8,19.1
2018-10-30,25.0,19.25
2018-10-31,24.5,19.9000005
2018-11-01,23.5999995,19.1500005
2018-11-02,22.6000005,19.25
2018-11-03,23.55,19.95
2018-11-04,23.8500005,20.55
2018-11-05,21.85,19.0
2018-11-06,18.95,15.05
2018-11-07,15.1,13.65
2018-11-08,15.7,13.8
2018-11-09,17.4,13.55
2018-11-10,17.5500005,16.35
2018-11-11,17.0,16.25
2018-11-12,17.0,15.9
2018-11-13,17.1000005,16.3499995
2018-11-14,17.6500005,16.799999
2018-11-15,17.5,16.6
2018-11-16,16.8499995,16.3000005
2018-11-17,16.4,14.25
2018-11-18,14.350000000000001,13.1
2018-11-19,14.95,12.6
2018-11-20,15.55,14.5
