time,val,用电量,is_workday,month,hour
2018-08-31,11888464.400000002,373.5999999999767,24,192,276
2018-09-02,11899508.799999999,168.79999999998836,0,216,276
2018-09-03,11906562.000000002,427.6000000000349,24,216,276
2018-09-04,11917344.399999999,477.5999999999767,24,216,276
2018-09-05,11928703.200000001,457.20000000001164,24,216,276
2018-09-06,11939369.599999998,457.20000000001164,24,216,276
2018-09-07,11949663.200000001,363.20000000001164,24,216,276
2018-09-08,11956138.799999999,185.59999999997672,0,216,276
2018-09-09,11960622.8,183.59999999997672,0,216,276
2018-09-10,11967475.2,392.0,24,216,276
2018-09-11,11976589.6,402.0,24,216,276
2018-09-12,11986255.6,373.20000000001164,24,216,276
2018-09-13,11995808.399999999,445.20000000001164,24,216,276
2018-09-14,12005905.199999997,382.79999999998836,24,216,276
2018-09-15,12013434.000000002,244.79999999998836,0,216,276
2018-09-16,12018593.200000001,170.80000000004657,0,216,276
2018-09-17,12026000.399999997,458.3999999999651,24,216,276
2018-09-18,12036466.399999999,423.20000000001164,24,216,276
2018-09-19,12045962.0,367.5999999999767,24,216,276
2018-09-20,12055140.4,396.80000000004657,24,216,276
2018-09-21,12064846.0,403.5999999999767,24,216,276
2018-09-22,12071568.399999999,142.0,0,216,276
2018-09-23,12074922.000000002,138.0,0,216,276
2018-09-24,12078164.8,124.0,0,216,276
2018-09-25,12084255.2,400.4000000000233,24,216,276
2018-09-26,12093773.999999998,398.0,24,216,276
2018-09-27,12102947.999999996,374.79999999998836,24,216,276
2018-09-28,12111505.200000001,314.0,24,216,276
2018-09-29,12119033.2,317.20000000001164,24,216,276
2018-09-30,12126618.4,306.3999999999651,24,216,276
2018-10-01,12131359.6,82.40000000002328,0,240,276
2018-10-04,12136791.600000001,77.20000000001164,0,240,276
2018-10-05,12138600.399999997,75.60000000003492,0,240,276
2018-10-06,12140542.799999999,76.0,0,240,276
2018-10-25,12270669.200000001,343.20000000001164,24,240,276
2018-10-26,12278570.000000002,293.5999999999767,24,240,276
2018-11-04,12328730.800000003,128.39999999996508,0,264,276
2018-11-05,12334305.999999998,346.80000000004657,24,264,276
2018-11-13,12419258.8,600.7999999999884,24,264,276
2018-11-14,12433310.0,511.6000000000349,24,264,276
2018-11-15,12444908.0,474.79999999998836,24,264,276
2018-11-16,12455908.800000003,432.4000000000233,24,264,276
2018-11-17,12463582.400000004,188.39999999996508,0,264,276
2018-11-18,12468044.8,186.40000000002328,0,264,276
2018-11-19,12476480.4,556.0,24,264,276
2018-11-20,12489470.8,537.5999999999767,24,264,276
2018-11-21,12501820.799999999,470.4000000000233,24,264,276
2018-11-22,12512808.799999997,458.79999999998836,24,264,276
2018-12-01,12592979.200000001,181.59999999997672,0,288,276
2018-12-02,12597960.4,260.0,0,288,276
2018-12-03,12606977.599999998,511.60000000009313,24,288,276
2018-12-04,12619640.0,540.7999999999302,24,288,276
2018-12-05,12632270.0,497.20000000006985,24,288,276
2018-12-06,12644960.0,584.7999999999302,24,288,276
2018-12-07,12658781.599999996,518.8000000000466,24,288,276
2018-12-08,12669452.4,416.79999999993015,0,288,276
2018-12-09,12677530.0,229.20000000006985,0,288,276
2018-12-10,12689480.0,798.7999999999302,24,288,276
2018-12-11,12708013.200000001,739.6000000000931,24,288,276
2018-12-12,12724021.599999998,563.5999999999767,24,288,276
2018-12-13,12738381.6,644.4000000000233,24,288,276
2018-12-14,12752346.4,505.19999999995343,24,288,276
2018-12-15,12761760.800000003,274.0,0,288,276
2018-12-16,12768406.399999999,309.5999999999767,0,288,276
2018-12-17,12779399.2,596.0,24,288,276
2018-12-18,12792743.600000001,518.4000000000233,24,288,276
2019-01-08,13042837.6,647.5999999999767,24,24,276
2019-01-09,13057850.4,580.4000000000233,24,24,276
2019-01-10,13072441.199999996,656.7999999999302,24,24,276
2019-01-11,13088158.0,603.2000000000698,24,24,276
2019-01-12,13099264.4,340.79999999993015,0,24,276
2019-01-13,13106234.000000002,229.60000000009313,0,24,276
2019-01-14,13117023.6,693.5999999999767,24,24,276
2019-01-15,13132944.400000002,634.7999999999302,24,24,276
2019-01-16,13148322.399999999,653.6000000000931,24,24,276
2019-01-17,13163867.2,647.1999999999534,24,24,276
2019-01-18,13178574.399999999,552.0,24,24,276
2019-01-19,13189583.199999997,381.5999999999767,0,24,276
2019-01-20,13197740.4,291.5999999999767,0,24,276
2019-01-21,13208532.799999999,613.6000000000931,24,24,276
2019-01-22,13222469.999999998,534.7999999999302,24,24,276
2019-01-23,13234509.200000001,447.5999999999767,24,24,276
2019-01-24,13245510.0,533.6000000000931,24,24,276
2019-01-25,13258594.000000002,492.39999999990687,24,24,276
2019-01-26,13270506.4,514.8000000000466,0,24,276
2019-01-27,13280025.600000001,275.5999999999767,0,24,276
2019-01-28,13289807.200000001,553.5999999999767,24,24,276
2019-01-29,13303651.599999998,615.6000000000931,24,24,276
2019-01-30,13317471.200000001,521.5999999999767,24,24,276
2019-02-01,13336193.599999998,67.19999999995343,24,48,276
2019-02-02,13337798.799999999,66.80000000004657,24,48,276
2019-02-03,13339279.600000001,48.0,24,48,276
2019-02-04,13340254.400000002,33.199999999953434,0,48,276
2019-02-05,13341080.4,34.800000000046566,0,48,276
2019-02-06,13341930.0,36.39999999990687,0,48,276
2019-02-07,13342762.4,32.0,0,48,276
2019-02-08,13343535.6,32.0,0,48,276
2019-02-09,13344474.4,51.20000000006985,0,48,276
2019-02-10,13346331.6,89.59999999997672,0,48,276
2019-02-11,13352712.799999997,471.19999999995343,24,48,276
2019-02-12,13367166.399999999,767.2000000000698,24,48,276
2019-02-13,13386067.200000003,802.4000000000233,24,48,276
2019-02-14,13405717.200000001,844.3999999999069,24,48,276
2019-02-15,13426157.6,837.6000000000931,24,48,276
2019-02-16,13440358.0,351.19999999995343,0,48,276
2019-02-17,13448026.8,260.0,0,48,276
2019-02-18,13461640.799999997,930.4000000000233,24,48,276
2019-02-19,13482049.2,713.5999999999767,24,48,276
2019-02-20,13499075.6,734.8000000000466,24,48,276
2019-02-21,13516834.8,758.7999999999302,24,48,276
2019-02-22,13533608.399999999,600.0,24,48,276
2019-02-23,13544647.999999998,328.4000000000233,0,48,276
2019-02-24,13552358.799999999,306.80000000004657,0,48,276
2019-02-25,13562921.2,572.3999999999069,24,48,276
2019-02-26,13577060.799999999,628.8000000000466,24,48,276
2019-02-27,13591794.8,595.5999999999767,24,48,276
2019-02-28,13605547.200000001,542.0,24,48,276
2019-03-01,13618954.8,551.2000000000698,24,72,276
2019-03-02,13628115.2,214.39999999990687,0,72,276
2019-03-03,13634122.8,282.0,0,72,276
2019-03-04,13643149.2,484.80000000004657,24,72,276
2019-03-05,13655443.2,564.4000000000233,24,72,276
2019-03-06,13668556.399999997,502.0,24,72,276
2019-03-07,13679892.8,467.19999999995343,24,72,276
2019-03-08,13690940.800000003,445.5999999999767,24,72,276
2019-03-09,13701560.399999999,427.20000000006985,0,72,276
2019-03-10,13709015.200000001,170.0,0,72,276
2019-03-11,13716150.4,457.5999999999767,24,72,276
2019-03-30,13912185.199999997,194.39999999990687,0,72,276
2019-03-31,13917331.999999998,240.40000000002328,0,72,276
2019-04-01,13925728.000000004,458.4000000000233,24,96,276
2019-04-02,13937862.4,593.5999999999767,24,96,276
2019-04-03,13951864.0,568.0,24,96,276
2019-04-04,13965542.799999999,543.5999999999767,24,96,276
2019-04-05,13974070.799999999,147.20000000006985,0,96,276
2019-04-06,13977601.200000001,153.59999999997672,0,96,276
2019-04-07,13981554.8,178.0,0,96,276
2019-04-08,13988462.399999999,404.80000000004657,24,96,276
2019-04-09,13998054.8,424.0,24,96,276
2019-04-10,14009726.4,515.5999999999767,24,96,276
2019-04-11,14021883.999999998,516.7999999999302,24,96,276
2019-04-12,14033638.399999999,445.20000000006985,24,96,276
2019-04-13,14043308.799999999,361.19999999995343,0,96,276
2019-04-14,14049908.8,181.59999999997672,0,96,276
2019-04-15,14057593.999999994,463.60000000009313,24,96,276
2019-04-16,14068089.200000005,442.39999999990687,24,96,276
2019-04-17,14078245.599999996,394.0,24,96,276
2019-04-18,14087595.199999997,391.20000000006985,24,96,276
2019-04-23,14123986.000000004,387.5999999999767,24,96,276
2019-04-24,14132807.999999998,340.80000000004657,24,96,276
2019-04-25,14141619.999999998,409.19999999995343,24,96,276
2019-05-20,14347327.200000003,444.0,24,120,276
2019-05-21,14357761.600000001,449.20000000006985,24,120,276
2019-05-22,14368229.199999997,414.79999999993015,24,120,276
2019-05-23,14378250.799999999,425.5999999999767,24,120,276
2019-05-24,14387948.0,382.80000000004657,24,120,276
2019-05-25,14395150.799999997,198.80000000004657,0,120,276
2019-05-26,14399967.600000001,202.0,0,120,276
2019-05-27,14407488.8,444.39999999990687,24,120,276
2019-05-28,14418711.2,526.4000000000233,24,120,276
2019-05-29,14430957.600000001,440.80000000004657,24,120,276
2019-05-30,14441581.2,466.4000000000233,24,120,276
2019-05-31,14451847.199999997,374.0,24,120,276
2019-06-01,14458254.799999999,147.19999999995343,0,144,276
2019-06-02,14461795.6,157.19999999995343,0,144,276
2019-06-03,14468365.199999997,406.80000000004657,24,144,276
2019-06-04,14478182.399999997,401.19999999995343,24,144,276
2019-06-05,14487771.600000001,405.20000000006985,24,144,276
2019-06-06,14497481.6,384.0,24,144,276
2019-06-07,14503757.600000001,129.19999999995343,0,144,276
2019-06-08,14506914.0,144.40000000002328,0,144,276
2019-06-09,14510485.200000001,162.0,0,144,276
2019-06-10,14517522.0,421.5999999999767,24,144,276
2019-06-11,14527736.8,451.20000000006985,24,144,276
2019-06-12,14538672.000000002,439.19999999995343,24,144,276
2019-12-19,16247726.4,678.4000000000233,24,288,276
2019-12-20,16263628.800000003,642.4000000000233,24,288,276
2019-12-21,16276275.999999996,390.4000000000233,0,288,276
2019-12-22,16286030.8,412.79999999993015,0,288,276
2019-12-23,16298593.6,691.6000000000931,24,288,276
2019-12-24,16315068.8,662.7999999999302,24,288,276
2019-12-25,16330437.200000001,592.0,24,288,276
2019-12-26,16344770.800000003,636.0,24,288,276
2019-12-27,16359382.8,552.0,24,288,276
2019-12-28,16369802.400000002,327.5999999999767,0,288,276
2019-12-29,16377611.199999997,314.80000000004657,0,288,276
2020-01-05,16465918.000000002,396.0,0,24,276
2020-01-06,16478732.399999999,684.0,24,24,276
2020-01-07,16494610.8,632.4000000000233,24,24,276
2020-01-08,16509477.199999997,589.5999999999767,24,24,276
2020-01-09,16525280.4,752.0,24,24,276
2020-01-10,16542282.799999999,657.6000000000931,24,24,276
2020-01-11,16557996.4,650.3999999999069,0,24,276
2020-01-12,16569332.0,276.0,0,24,276
2020-01-13,16580768.399999999,704.4000000000233,24,24,276
2020-01-15,16613849.999999998,687.2000000000698,24,24,276
2020-01-16,16631816.000000004,830.0,24,24,276
2020-01-17,16650954.0,728.0,24,24,276
2020-01-18,16664104.8,378.0,0,24,276
2020-01-19,16676670.000000002,631.1999999999534,24,24,276
2020-01-20,16690986.000000004,534.4000000000233,24,24,276
2020-01-21,16698514.0,130.79999999993015,24,24,276
2020-01-22,16701517.600000003,98.80000000004657,24,24,276
2020-01-23,16703811.6,108.80000000004657,24,24,276
2020-01-24,16706546.4,113.19999999995343,0,24,276
2020-01-25,16709243.200000001,107.59999999997672,0,24,276
2020-01-26,16711795.6,109.20000000006985,0,24,276
2020-01-27,16714588.0,123.19999999995343,0,24,276
2020-01-28,16717417.6,112.40000000002328,0,24,276
2020-01-29,16720135.6,112.40000000002328,0,24,276
2020-01-30,16723029.599999998,134.39999999990687,0,24,276
2020-01-31,16726221.2,125.60000000009313,0,24,276
2020-02-01,16728895.2,88.0,0,48,276
2020-02-02,16731048.000000002,106.39999999990687,0,48,276
2020-02-03,16733809.6,134.80000000004657,24,48,276
2020-02-04,16736950.400000002,106.0,24,48,276
2020-02-05,16739754.8,139.19999999995343,24,48,276
2020-02-06,16742714.000000002,101.20000000006985,24,48,276
2020-02-07,16745841.6,176.40000000002328,24,48,276
2020-02-08,16749436.799999999,106.79999999993015,0,48,276
2020-02-09,16753034.800000003,212.40000000002328,0,48,276
2020-02-10,16763736.4,713.5999999999767,24,48,276
2020-02-11,16779728.000000004,594.8000000000466,24,48,276
2020-02-12,16793600.8,550.4000000000233,24,48,276
2020-02-13,16806279.599999998,494.79999999993015,24,48,276
2020-02-14,16816366.0,341.20000000006985,24,48,276
2020-02-15,16822347.6,154.39999999990687,0,48,276
2020-02-16,16826088.799999997,159.20000000006985,0,48,276
2020-02-17,16834408.0,555.5999999999767,24,48,276
2020-02-18,16847817.200000003,545.1999999999534,24,48,276
2020-02-19,16860920.8,574.4000000000233,24,48,276
2020-02-20,16874765.599999998,558.0,24,48,276
2020-02-21,16888270.4,576.0,24,48,276
2020-02-22,16897465.6,177.20000000006985,0,48,276
2020-02-23,16901448.4,146.79999999993015,0,48,276
2020-02-24,16908493.2,447.5999999999767,24,48,276
2020-02-25,16919044.4,442.4000000000233,24,48,276
2020-02-26,16930960.4,550.4000000000233,24,48,276
2020-02-27,16944674.799999997,618.0,24,48,276
2020-02-28,16960388.8,670.8000000000466,24,48,276
2020-02-29,16971252.4,221.19999999995343,0,48,276
2020-03-01,16976054.4,191.59999999997672,0,72,276
2020-03-02,16988627.200000003,917.2000000000698,24,72,276
2020-03-03,17012253.2,1005.5999999999767,24,72,276
2020-03-04,17035750.8,963.1999999999534,24,72,276
2020-03-05,17058275.6,923.5999999999767,24,72,276
2020-03-06,17080480.0,901.6000000000931,24,72,276
2020-03-07,17094186.8,224.0,0,72,276
2020-03-08,17098984.0,166.0,0,72,276
2020-03-09,17111749.2,956.3999999999069,24,72,276
2020-03-10,17133335.6,806.0,24,72,276
2020-03-11,17153989.199999996,926.0,24,72,276
2020-03-12,17176424.4,952.4000000000233,24,72,276
2020-03-13,17198727.6,899.5999999999767,24,72,276
2020-03-14,17212248.0,194.0,0,72,276
2020-03-15,17216558.0,160.80000000004657,0,72,276
2020-03-16,17227448.800000004,779.1999999999534,24,72,276
2020-03-17,17245749.200000003,731.2000000000698,24,72,276
2020-03-18,17261998.8,617.5999999999767,24,72,276
2020-03-19,17275073.6,459.5999999999767,24,72,276
2020-03-20,17285261.200000003,391.5999999999767,24,72,276
2020-03-21,17291708.8,134.40000000002328,0,72,276
2020-03-22,17294787.999999996,141.59999999997672,0,72,276
2020-03-23,17302006.4,467.20000000006985,24,72,276
2020-03-24,17312901.2,448.4000000000233,24,72,276
2020-03-25,17323088.799999997,395.19999999995343,24,72,276
2020-03-26,17332868.8,421.5999999999767,24,72,276
2020-03-27,17345020.4,614.0,24,72,276
2020-03-28,17356502.4,325.5999999999767,0,72,276
2020-03-29,17364436.8,355.60000000009313,0,72,276
2020-03-30,17379658.8,918.7999999999302,24,72,276
2020-03-31,17402306.0,979.2000000000698,24,72,276
2020-04-01,17424051.6,832.0,24,96,276
2020-04-02,17444529.2,896.0,24,96,276
2020-04-03,17465442.400000002,797.1999999999534,24,96,276
2020-04-04,17477128.000000004,146.80000000004657,0,96,276
2020-04-05,17480679.199999996,135.19999999995343,0,96,276
2020-04-06,17483882.8,147.59999999997672,0,96,276
2020-04-07,17491798.0,525.2000000000698,24,96,276
2020-04-08,17503252.0,418.0,24,96,276
2020-04-09,17512682.4,377.5999999999767,24,96,276
2020-04-10,17521815.2,384.0,24,96,276
2020-04-11,17533618.8,614.7999999999302,0,96,276
2020-04-12,17542994.4,137.60000000009313,0,96,276
